canonical_ticker,provider_symbol,identity_asof,admitted_start,admitted_end,chain_id,continuity_kind,warmup_predecessor,factor_anchor,evidence_url
BLL,BLL,2022-05-09,2020-01-01,2022-05-09,ball,same_issuer_rename,,0,https://investors.ball.com/news-presentations/press-releases/detail/82/ball-board-declares-quarterly-dividend-stock-ticker-symbol-changing-to-ball
BALL,BALL,2025-12-31,2022-05-10,2025-12-31,ball,same_issuer_rename,BLL,1,https://investors.ball.com/news-presentations/press-releases/detail/82/ball-board-declares-quarterly-dividend-stock-ticker-symbol-changing-to-ball
ABC,ABC,2023-08-29,2020-01-01,2023-08-29,cencora,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1140859/000110465923096698/tm2324358d1_8k.htm
COR,COR,2025-12-31,2023-08-30,2025-12-31,cencora,same_issuer_rename,ABC,1,https://www.sec.gov/Archives/edgar/data/1140859/000110465923096698/tm2324358d1_8k.htm
ANTM,ANTM,2022-06-27,2020-01-01,2022-06-27,elevance,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000081/R8.htm
ELV,ELV,2025-12-31,2022-06-28,2025-12-31,elevance,same_issuer_rename,ANTM,1,https://www.sec.gov/Archives/edgar/data/1156039/000115603922000081/R8.htm
COG,COG,2021-10-03,2020-01-01,2021-10-03,coterra,legacy_survivor_rename,,0,https://www.sec.gov/Archives/edgar/data/858470/000110465921122041/tm2129019d1_8k.htm
CTRA,CTRA,2025-12-31,2021-10-04,2025-12-31,coterra,legacy_survivor_rename,COG,1,https://www.sec.gov/Archives/edgar/data/858470/000110465921122041/tm2129019d1_ex99-1.htm
RE,RE,2023-07-09,2020-01-01,2023-07-09,everest,same_issuer_rename,,0,https://investors.everestglobal.com/news/news-details/2023/Everest-to-Rebrand-Company-Name-and-NYSE-Ticker-to-Reflect-its-Evolution-Global-Growth-and-Diversification-Strategy/default.aspx
EG,EG,2025-12-31,2023-07-10,2025-12-31,everest,same_issuer_rename,RE,1,https://investors.everestglobal.com/news/news-details/2023/Everest-to-Rebrand-Company-Name-and-NYSE-Ticker-to-Reflect-its-Evolution-Global-Growth-and-Diversification-Strategy/default.aspx
FB,FB,2022-06-08,2020-01-01,2022-06-08,meta,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000070/fb-20220531.htm
META,META,2025-12-31,2022-06-09,2025-12-31,meta,same_issuer_rename,FB,1,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000070/may312022-exhibit991.htm
FLT,FLT,2024-03-24,2020-01-01,2024-03-24,corpay,same_issuer_rename,,0,https://www.sec.gov/Archives/edgar/data/1175454/000162828024010593/exhibit991corpayrebrand_re.htm
CPAY,CPAY,2025-12-31,2024-03-25,2025-12-31,corpay,same_issuer_rename,FLT,1,https://www.sec.gov/Archives/edgar/data/1175454/000162828024010593/exhibit991corpayrebrand_re.htm
PEAK,PEAK,2024-03-03,2020-01-01,2024-03-03,healthpeak,accounting_acquirer_rename,,0,https://www.sec.gov/Archives/edgar/data/1574540/000110465924029662/tm247597d1_8k.htm
