Symbol,Scanner_Category,Scanner_Notes,RS_Score,CANSLIM_Score,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,Current_Growth,Annual_Growth,Revenue_Growth,ROE,Shares_Outstanding,Proximity_to_High,Avg_Volume_50,UpDown_Volume_Ratio,Volume_Ratio,Is_Breakout,Has_Volume_Surge,Market_Bullish,Market_Score,Distribution_Days,Follow_Through,Quarterly_Income_Available,Annual_Income_Available,Balance_Sheet_Available,Current_Earnings_Available,Annual_Earnings_Available,Revenue_Growth_Available,Institutional_Data_Available,Has_Fundamentals,Data_Availability_C,Data_Availability_A,Data_Availability_N_Revenue,Data_Availability_I_Level,Data_Availability_I_Trend,Income_Statement_Error,Balance_Sheet_Error
MRVL,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",86.39763113367174,64.01350009813201,0.0,0.0,100.0,71.02898827238262,86.39763113367174,50.0,5.499999999999999,,,,,,0.9988128937996529,19252368.56,1.2432166597575383,0.9852401246571607,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/MRVL?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/MRVL?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
LITE,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",98.66835871404399,63.460069624774896,0.0,0.0,100.0,43.44366550817392,98.66835871404399,50.0,5.499999999999999,,,,,,0.9865397639318886,6437926.66,0.9067192444264982,0.8530493262872926,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/LITE?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/LITE?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
STX,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",98.00507614213198,62.99089619358488,0.0,0.0,100.0,42.189776780452824,98.00507614213198,50.0,5.499999999999999,,,,,,1.0,4341081.9,1.0662962925853656,0.9858300531026608,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/STX?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/STX?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
WDC,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",98.17089678510999,62.92178672191745,0.0,0.0,100.0,41.478033400326,98.17089678510999,50.0,5.499999999999999,,,,,,0.9843183037263749,10118364.82,0.9837558218141714,0.5825469930031639,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/WDC?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/WDC?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
BP,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",87.06091370558376,62.57161385108518,0.0,0.0,100.0,61.77204876980098,87.06091370558376,50.0,5.499999999999999,,,,,,0.9949452401010953,15141128.06,0.8600431480622689,0.7688548009018028,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/BP?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/BP?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CIEN,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",98.336717428088,62.249457400357365,0.0,0.0,100.0,37.448580845789515,98.336717428088,50.0,5.499999999999999,,,,,,1.0,3675978.42,1.0752498937030124,0.5361274672553709,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CIEN?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CIEN?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
EQNR,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",95.51776649746193,62.153377049030624,0.0,0.0,100.0,42.558040774744526,95.51776649746193,50.0,5.499999999999999,,,,,,0.9922169811320755,7889330.04,0.9368954350143837,0.7370661349591606,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/EQNR?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/EQNR?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CASY,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",91.86971235194586,62.08080868362941,0.0,0.0,100.0,49.45502305606996,91.86971235194586,50.0,5.499999999999999,,,,,,0.9920430078767536,451999.2,1.1391004611213993,1.57390101575401,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CASY?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CASY?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
VLO,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",95.02030456852792,62.03817256539234,0.0,0.0,100.0,42.919339972601996,95.02030456852792,50.0,5.499999999999999,,,,,,0.9888722868826676,3831640.68,0.802581854551242,0.9429863867088915,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/VLO?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/VLO?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
SU,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",93.36209813874788,61.67726161535958,0.0,0.0,100.0,44.25074260698192,93.36209813874788,50.0,5.499999999999999,,,,,,1.0,5680144.5,0.9653191484644518,0.8468161329346463,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/SU?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/SU?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CCO,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",91.04060913705584,61.54186162084564,0.0,0.0,100.0,48.14902064053929,91.04060913705584,50.0,5.499999999999999,,,,,,0.983402489626556,9117213.58,1.2542065486178149,0.6880200781695409,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CCO?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CCO?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
CVE,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",95.18612521150592,61.38583589343835,0.0,0.0,100.0,38.999846990899044,95.18612521150592,50.0,5.499999999999999,,,,,,1.0,15756033.22,0.875870629967074,0.5080215869207211,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/CVE?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/CVE?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
ETR,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",82.74957698815567,61.369910716693,0.0,0.0,100.0,63.785354965500154,82.74957698815567,50.0,5.499999999999999,,,,,,0.991035683202785,2891149.22,1.1573627299011862,0.7294922674382057,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/ETR?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/ETR?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
GEV,watchlist_candidate,"below_buy_score,market_not_bullish,missing_fundamentals",96.34686971235195,61.263898841571404,0.0,0.0,100.0,36.00770420393884,96.34686971235195,50.0,5.499999999999999,,,,,,0.9859909709967629,2783460.22,1.053768620631303,0.5043370082723869,True,False,False,0.05499999999999999,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/income-statement/GEV?period=quarter&limit=8&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47,403 Client Error: Forbidden for url: https://financialmodelingprep.com/api/v3/balance-sheet-statement/GEV?limit=5&apikey=3jCYnEGfwvbhbMaHPR3eIj3fXJibdw47
